train_dur,replicate_num,model_name,checkpoint_path,labelmap_path,spect_scaler_path,dataset_path,avg_val_acc,avg_val_acc_tfm_epoch,avg_val_levenshtein,avg_val_levenshtein_tfm_epoch,avg_val_loss_epoch,avg_val_segment_error_rate,avg_val_segment_error_rate_tfm_epoch
120.0,1,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_1/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_1/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_1/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9497531056404114,0.9497819542884828,25.77777862548828,5.786324977874756,0.1946894228458404,0.352239900493684,0.075335326743285
120.0,2,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_2/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_2/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_2/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9184979796409608,0.9212523102760316,36.70940017700195,9.51282024383545,0.3173334300518036,0.5152006611851486,0.1329507225488498
120.0,3,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_3/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_3/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_3/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9496306777000428,0.9493762254714966,26.5213680267334,6.487179279327393,0.2069950550794601,0.3767304335244352,0.0932134678542345
120.0,4,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_4/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_4/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_4/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.942496418952942,0.9456480741500854,28.769229888916016,7.273504257202148,0.2225162535905838,0.3686865855696371,0.0905765893631769
120.0,5,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_5/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_5/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_120.0s/replicate_5/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9587005972862244,0.961201548576355,19.33333396911621,4.273504257202148,0.1878850162029266,0.2587624726891792,0.0552273219547678
180.0,1,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_1/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_1/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_1/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9272682070732116,0.9327088594436646,38.44444274902344,8.79487133026123,0.2739146053791046,0.5337307966352479,0.117528815907808
180.0,2,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_2/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_2/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_2/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9558679461479188,0.9611806869506836,23.008546829223636,3.752136707305908,0.1517353653907776,0.3288626948547177,0.0474311223200308
180.0,3,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_3/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_3/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_3/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9307485222816468,0.9341793656349182,40.88888931274414,9.786324501037598,0.2464547306299209,0.483909480691136,0.1146434153521471
180.0,4,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_4/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_4/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_4/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9475014209747314,0.952017307281494,23.74358940124512,5.059829235076904,0.2060150057077407,0.3149888857696583,0.0610206516068081
180.0,5,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_5/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_5/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_180.0s/replicate_5/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9571661949157716,0.957641303539276,19.74358940124512,4.299145221710205,0.155624434351921,0.2509666532214115,0.0522674045648548
480.0,1,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_1/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_1/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_1/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.96860671043396,0.9706318974494934,15.427350044250488,3.2820513248443604,0.1102996543049812,0.1651294766068306,0.0322275714782831
480.0,2,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_2/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_2/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_2/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9615228176116944,0.9640759229660034,18.239316940307617,3.2649571895599365,0.1283319443464279,0.241774170219266,0.0404422435377464
480.0,3,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_3/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_3/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_3/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.956005871295929,0.9549877643585204,19.60683822631836,5.111111164093018,0.1513935178518295,0.257945345245077,0.0663343458771019
480.0,4,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_4/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_4/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_4/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.959490954875946,0.9632532596588136,21.008546829223636,4.11965799331665,0.148033931851387,0.2526041600311353,0.0452066686839453
480.0,5,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_5/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_5/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_480.0s/replicate_5/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.961599826812744,0.9602217078208924,19.08547019958496,4.051281929016113,0.1313650459051132,0.2543527790856062,0.0549268011227798
600.0,1,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_600.0s/replicate_1/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_600.0s/replicate_1/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_600.0s/replicate_1/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9717652797698976,0.970367193222046,10.623931884765623,2.777777671813965,0.1025321409106254,0.1269289401632108,0.0339494881261883
600.0,2,ED_TCN,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_600.0s/replicate_2/ED_TCN/checkpoints/max-val-acc-checkpoint.pt,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_600.0s/replicate_2/labelmap.json,results/BFSongRepo/all-birds/ED_TCN/results_230707_125523/train_dur_600.0s/replicate_2/StandardizeSpect,data/BFSongRepo/all-birds/all-birds-vak-frame-classification-dataset-generated-230628_144255,0.9383389353752136,0.9391292333602904,30.55555534362793,7.367521286010742,0.1979517638683319,0.4462096226823087,0.1020027806158961
